# Format is <Y/N>, <X/E>, <Z/RL>, <Label>
# Distances in meters
       -221.052197,        -244.260054,           6.619307, G350.20
       -219.889253,        -224.066962,           8.924429, G355.00
       -221.898234,        -229.302730,           8.082904, G355.05
       -222.525925,        -234.330392,           7.470463, G355.10
       -224.695846,        -238.754025,           6.834070, G355.15
       -225.647999,        -243.358792,           5.753238, G355.20
       -225.264237,        -223.247167,           8.692337, G360.00
       -226.336242,        -228.013852,           7.956614, G360.05
       -227.318235,        -233.010535,           6.769870, G360.10
       -228.346184,        -237.948048,           6.069855, G360.15
       -229.419241,        -242.710945,           5.515992, G360.20
       -229.898186,        -221.476983,           8.603741, G365.00
       -231.385199,        -226.121598,           8.057919, G365.05
       -234.501202,        -230.390958,           5.792275, G365.10
       -237.018061,        -235.065223,           5.470602, G365.15
       -237.026628,        -235.071185,           5.475370, G365.15
       -237.964419,        -240.114988,           4.301972, G365.20
       -234.211361,        -218.943636,           8.208680, G370.00
       -237.536656,        -223.802049,           6.823607, G370.05
       -237.537288,        -223.803690,           6.822343, G370.05
       -240.168522,        -227.411745,           5.896410, G370.10
       -240.171597,        -227.405388,           5.905174, G370.10
       -242.830413,        -231.315052,           4.786531, G370.15
       -245.793337,        -235.327498,           3.694506, G370.20
       -238.703433,        -216.752910,           8.316104, G375.00
       -241.558252,        -222.225880,           6.810255, G375.05
       -246.164852,        -230.122012,           4.659551, G375.15
       -248.811299,        -234.485646,           3.586824, G375.20
       -243.175007,        -214.279908,           8.276143, G380.00
       -245.882805,        -218.733382,           7.257475, G380.05
       -250.216336,        -227.732597,           4.822025, G380.15
       -247.767948,        -212.557269,           8.049294, G385.00
       -249.279994,        -218.567871,           7.328136, G385.05
       -251.239783,        -224.129834,           5.372551, G385.10
       -252.622064,        -228.207417,           4.483837, G385.15
       -254.724472,        -232.995173,           3.561632, G385.20
       -252.451894,        -210.628310,           7.687665, G390.00
       -257.111056,        -209.076124,           7.686224, G390.00
       -254.457646,        -216.043534,           6.866074, G390.05
       -254.459469,        -216.048564,           6.870337, G390.05
       -256.256345,        -220.729439,           5.896005, G390.10
       -256.256774,        -220.730757,           5.895157, G390.10
       -258.325239,        -225.340999,           5.024667, G390.15
       -258.309434,        -225.355409,           5.022287, G390.15
       -259.714321,        -214.505441,           6.882490, G395.05
       -261.559409,        -218.645230,           6.372620, G395.10
       -263.008853,        -222.942897,           5.782388, G395.15
       -266.102941,        -227.455028,           5.530989, G395.20
       -261.408690,        -206.619083,           7.818992, G400.00
       -264.000681,        -211.192009,           7.267610, G400.05
       -266.442816,        -215.648330,           6.909058, G400.10
       -269.100258,        -220.145754,           6.435926, G400.15
       -271.308031,        -224.991722,           5.814525, G400.20
       -271.436412,        -224.799633,           5.840128, G400.20
       -265.750692,        -203.993826,           8.112939, G405.00
       -268.741933,        -208.386765,           7.853104, G405.05
       -271.586903,        -213.052857,           7.803599, G405.10
       -273.417572,        -217.058215,           7.586014, G405.15
       -276.884803,        -221.255320,           6.761143, G405.20
       -269.764228,        -201.121414,           8.161769, G410.00
       -272.821398,        -205.386738,           8.024312, G410.05
       -275.953953,        -209.583739,           8.122669, G410.10
       -279.180263,        -213.623744,           8.115898, G410.15
       -282.980364,        -217.634497,           7.689133, G410.20
       -274.047055,        -198.490694,           7.961010, G415.00
       -277.796821,        -202.818143,           8.089376, G415.05
       -279.725209,        -206.530135,           8.449800, G415.10
       -283.187836,        -211.885570,           8.288090, G415.15
       -286.120386,        -216.630082,           8.289500, G415.20
       -278.243701,        -195.679751,           7.737143, G420.00
       -281.127874,        -200.060706,           7.823342, G420.05
       -283.992130,        -204.478412,           8.280395, G420.10
       -286.519336,        -209.337250,          10.462367, G420.15
       -288.561965,        -215.767126,           8.308949, G420.20
       -281.754822,        -191.947190,           7.425611, G425.00
       -284.720106,        -197.110187,           7.744736, G425.05
       -287.283678,        -200.565951,           8.011443, G425.10
       -289.970737,        -205.717603,           8.571543, G425.15
       -285.065039,        -188.315415,           7.174280, G430.00
       -287.809064,        -192.960173,           7.214399, G430.05
       -290.409713,        -197.205342,           7.595742, G430.10
       -292.809601,        -201.429161,           8.665589, G430.15
       -295.610222,        -205.752648,           8.502186, G430.20
       -288.604539,        -184.792789,           6.813033, G435.00
       -292.063430,        -189.371854,           6.775408, G435.05
       -295.285008,        -193.711200,           7.228213, G435.10
       -298.014620,        -197.316653,           7.535663, G435.15
       -301.341837,        -201.964520,           8.471355, G435.20
       -292.442782,        -181.580619,           6.526543, G440.00
       -296.009932,        -185.683420,           6.304976, G440.05
       -299.207991,        -189.544528,           6.460119, G440.10
       -302.415426,        -193.709205,           6.991458, G440.15
       -305.823179,        -197.438564,           7.794637, G440.20
       -295.752878,        -177.751036,           6.358716, G445.00
       -299.496886,        -182.177207,           5.961166, G445.05
       -302.983456,        -185.709006,           5.900033, G445.10
       -372.665156,        -116.560040,           7.340231, G445.10
       -305.927186,        -190.124338,           6.087980, G445.15
       -308.452548,        -194.125361,           6.736574, G445.20
       -299.314928,        -174.189625,           6.133516, G450.00
       -302.744899,        -178.320154,           5.842600, G450.05
       -305.548803,        -182.598803,           5.855972, G450.10
       -308.449341,        -187.010153,           5.651346, G450.15
       -311.114111,        -191.293787,           6.343394, G450.20
       -305.995379,        -174.741988,           5.853663, G455.05
       -308.775476,        -179.885706,           5.467138, G455.10
       -312.037869,        -184.330770,           5.130921, G455.15
       -313.810865,        -189.123420,           5.854678, G455.20
       -306.539436,        -167.800806,           5.709172, G460.00
       -309.201952,        -172.557925,           5.356482, G460.05
       -310.925861,        -177.707842,           5.785431, G460.10
       -314.437813,        -181.122289,           4.836296, G460.15
       -317.844249,        -185.174834,           4.402681, G460.20
       -311.137787,        -165.782060,           5.582605, G465.00
       -314.130108,        -170.564882,           5.151852, G465.05
       -317.205426,        -174.822074,           5.292432, G465.10
       -320.030485,        -177.888489,           4.372331, G465.15
       -323.006563,        -182.564523,           3.956536, G465.20
       -315.367776,        -163.170792,           5.989887, G470.00
       -318.667907,        -167.277349,           5.085223, G470.05
       -321.706299,        -171.168565,           4.480984, G470.10
       -325.292817,        -175.387869,           5.137914, G470.15
